SMALLEST_COMPONENT_RANK,EIGENVALUE,CONDITION_INDEX,TOP_CONTRIBUTING_FEATURES
1,-1.7032201462166034e-16,inf,TRANS_WEEK_OHEWI_Monday (0.328853); TRANS_WEEK_OHEWI_Sunday (0.319930); TRANS_WEEK_OHEWI_Tuesday (0.290563); TRANS_WEEK_OHEWI_Saturday (0.287359); TRANS_WEEK_OHEWI_Friday (0.263657); TRANS_WEEK_OHEWI_Thursday (0.259154)
2,1.8022175556824385e-16,inf,TRANS_WEEK_OHEWI_Monday (0.282868); TRANS_WEEK_OHEWI_Sunday (0.275192); TRANS_WEEK_OHEWI_Tuesday (0.249933); TRANS_WEEK_OHEWI_Saturday (0.247176); RECEIVE_CATEGORY_OHEWI_gas_transport (0.238389); RECEIVE_CATEGORY_OHEWI_grocery_pos (0.231582)
3,0.0008816608099426904,53.360740999531814,SEND_LONG_REGISTER (0.707110); RECEIVE_LONG (-0.707103); SEND_LAT_REGISTER (0.000254); RECEIVE_LAT (-0.000230); SEND_NAME_FEWF (0.000079); RECEIVE_LOC_FEWF (0.000066)
4,0.006417448940714065,19.778411537799713,SEND_LAT_REGISTER (0.707185); RECEIVE_LAT (-0.707026); SEND_NAME_FEWF (-0.001047); TRANS_NUM_CARD_FEWF (0.000864); SEND_POP_REGISTER (0.000670); SEND_JOB_FEWF (0.000329)
5,0.03066691534331342,9.047687105003018,TRANS_NUM_CARD_FEWF (0.712661); SEND_NAME_FEWF (-0.700990); SEND_GENDER_BE (0.021888); SEND_JOB_FEWF (-0.010245); SEND_AGE (0.008947); RECEIVE_LAT (0.005491)
