SMALLEST_COMPONENT_RANK,EIGENVALUE,CONDITION_INDEX,TOP_CONTRIBUTING_FEATURES
1,0.0008816608081642102,53.35712966764182,SEND_LONG_REGISTER (-0.707110); RECEIVE_LONG (0.707103); SEND_LAT_REGISTER (-0.000254); RECEIVE_LAT (0.000230); SEND_NAME_FEWF (-0.000079); RECEIVE_LOC_FEWF (-0.000066)
2,0.006417448709167957,19.77707331735825,SEND_LAT_REGISTER (-0.707185); RECEIVE_LAT (0.707026); SEND_NAME_FEWF (0.001047); TRANS_NUM_CARD_FEWF (-0.000864); SEND_POP_REGISTER (-0.000670); SEND_JOB_FEWF (-0.000329)
3,0.03066686857530152,9.047081667825623,TRANS_NUM_CARD_FEWF (-0.712662); SEND_NAME_FEWF (0.700987); SEND_GENDER_BE (-0.021884); SEND_JOB_FEWF (0.010245); SEND_AGE (-0.008938); RECEIVE_LAT (-0.005491)
4,0.0700971273681202,5.984021102543777,RECEIVE_CATEGORY_OHEWI_gas_transport (-0.417160); RECEIVE_CATEGORY_OHEWI_grocery_pos (-0.388247); RECEIVE_CATEGORY_OHEWI_home (-0.331896); RECEIVE_CATEGORY_OHEWI_shopping_pos (-0.331162); RECEIVE_CATEGORY_OHEWI_kids_pets (-0.295889); RECEIVE_CATEGORY_OHEWI_shopping_net (-0.271454)
5,0.12766755689606213,4.434074164840648,RECEIVE_LOC_FEWF (0.684782); RECEIVE_CATEGORY_OHEWI_grocery_net (0.380046); RECEIVE_CATEGORY_OHEWI_travel (0.359948); RECEIVE_CATEGORY_OHEWI_misc_net (0.311321); RECEIVE_CATEGORY_OHEWI_misc_pos (0.207899); RECEIVE_CATEGORY_OHEWI_health_fitness (0.165037)
